away_line,Season,Wins,Totals,Ratio
0,2006,2,2,1
0,2007,0,1,0
0,2009,1,1,1
0,2010,1,4,0.25
0,2011,1,1,1
0,2012,2,3,0.666666667
0,2013,1,2,0.5
0,2014,1,1,1
0,2015,6,8,0.75
0,2016,5,6,0.833333333
1,2006,5,7,0.714285714
1,2007,2,5,0.4
1,2008,4,8,0.5
1,2009,1,4,0.25
1,2010,3,6,0.5
1,2011,6,7,0.857142857
1,2012,7,7,1
1,2013,1,2,0.5
1,2014,6,7,0.857142857
1,2015,7,12,0.583333333
1,2016,4,6,0.666666667
1.5,2006,2,4,0.5
1.5,2007,3,3,1
1.5,2008,2,6,0.333333333
1.5,2009,2,4,0.5
1.5,2010,5,6,0.833333333
1.5,2011,7,7,1
1.5,2012,3,3,1
1.5,2013,0,1,0
1.5,2014,3,7,0.428571429
1.5,2015,3,3,1
1.5,2016,3,3,1
2,2006,5,5,1
2,2007,1,2,0.5
2,2008,3,6,0.5
2,2009,5,6,0.833333333
2,2010,3,4,0.75
2,2011,4,4,1
2,2012,2,4,0.5
2,2013,2,3,0.666666667
2,2014,3,5,0.6
2,2015,6,8,0.75
2,2016,2,3,0.666666667
2.5,2006,9,9,1
2.5,2007,7,7,1
2.5,2008,7,9,0.777777778
2.5,2009,5,6,0.833333333
2.5,2010,11,11,1
2.5,2011,9,12,0.75
2.5,2012,2,3,0.666666667
2.5,2013,14,19,0.736842105
2.5,2014,8,11,0.727272727
2.5,2015,6,11,0.545454545
2.5,2016,8,9,0.888888889
3,2006,30,35,0.857142857
3,2007,26,33,0.787878788
3,2008,26,34,0.764705882
3,2009,16,23,0.695652174
3,2010,18,22,0.818181818
3,2011,19,28,0.678571429
3,2012,20,27,0.740740741
3,2013,14,21,0.666666667
3,2014,23,32,0.71875
3,2015,24,34,0.705882353
3,2016,19,25,0.76
3.5,2006,2,8,0.25
3.5,2007,7,11,0.636363636
3.5,2008,4,6,0.666666667
3.5,2009,6,10,0.6
3.5,2010,5,7,0.714285714
3.5,2011,9,15,0.6
3.5,2012,11,16,0.6875
3.5,2013,9,14,0.642857143
3.5,2014,4,6,0.666666667
3.5,2015,15,20,0.75
3.5,2016,15,16,0.9375
4,2006,9,10,0.9
4,2007,3,6,0.5
4,2008,8,11,0.727272727
4,2009,3,6,0.5
4,2010,7,10,0.7
4,2011,7,10,0.7
4,2012,8,9,0.888888889
4,2013,4,7,0.571428571
4,2014,6,8,0.75
4,2015,5,8,0.625
4,2016,10,15,0.666666667
4.5,2006,3,4,0.75
4.5,2007,6,6,1
4.5,2008,7,7,1
4.5,2009,4,5,0.8
4.5,2010,5,6,0.833333333
4.5,2011,6,8,0.75
4.5,2012,4,7,0.571428571
4.5,2013,4,9,0.444444444
4.5,2014,8,10,0.8
4.5,2015,3,4,0.75
4.5,2016,2,2,1
5,2006,8,9,0.888888889
5,2007,2,4,0.5
5,2008,3,6,0.5
5,2009,5,5,1
5,2010,3,6,0.5
5,2011,3,5,0.6
5,2012,3,6,0.5
5,2013,4,4,1
5,2014,3,3,1
5,2015,6,7,0.857142857
5,2016,5,5,1
5.5,2006,2,3,0.666666667
5.5,2007,2,6,0.333333333
5.5,2008,9,9,1
5.5,2009,5,5,1
5.5,2010,3,6,0.5
5.5,2011,1,1,1
5.5,2012,1,3,0.333333333
5.5,2013,4,6,0.666666667
5.5,2014,4,6,0.666666667
5.5,2015,1,2,0.5
5.5,2016,1,1,1
6,2006,7,7,1
6,2007,7,9,0.777777778
6,2008,3,4,0.75
6,2009,7,8,0.875
6,2010,5,7,0.714285714
6,2011,5,6,0.833333333
6,2012,3,8,0.375
6,2013,5,7,0.714285714
6,2014,8,10,0.8
6,2015,11,14,0.785714286
6,2016,7,10,0.7
6.5,2006,11,13,0.846153846
6.5,2007,5,7,0.714285714
6.5,2008,9,14,0.642857143
6.5,2009,6,7,0.857142857
6.5,2010,4,5,0.8
6.5,2011,2,3,0.666666667
6.5,2012,4,7,0.571428571
6.5,2013,6,9,0.666666667
6.5,2014,8,11,0.727272727
6.5,2015,5,7,0.714285714
6.5,2016,5,5,1
7,2006,6,14,0.428571429
7,2007,6,9,0.666666667
7,2008,6,14,0.428571429
7,2009,7,11,0.636363636
7,2010,8,11,0.727272727
7,2011,14,22,0.636363636
7,2012,12,17,0.705882353
7,2013,7,12,0.583333333
7,2014,10,19,0.526315789
7,2015,13,18,0.722222222
7,2016,6,11,0.545454545
7.5,2006,1,4,0.25
7.5,2007,3,7,0.428571429
7.5,2008,1,2,0.5
7.5,2009,5,8,0.625
7.5,2010,5,6,0.833333333
7.5,2011,3,6,0.5
7.5,2012,6,9,0.666666667
7.5,2013,6,13,0.461538462
7.5,2014,0,4,0
7.5,2015,3,4,0.75
7.5,2016,4,7,0.571428571
8,2006,2,3,0.666666667
8,2007,1,1,1
8,2008,4,8,0.5
8,2009,1,5,0.2
8,2010,1,3,0.333333333
8,2011,4,4,1
8,2012,4,6,0.666666667
8,2013,3,4,0.75
8,2014,2,2,1
8,2015,2,4,0.5
8.5,2006,1,1,1
8.5,2007,1,1,1
8.5,2008,0,2,0
8.5,2009,6,6,1
8.5,2011,2,2,1
8.5,2012,1,1,1
8.5,2013,1,2,0.5
8.5,2014,2,3,0.666666667
8.5,2016,1,1,1
9,2006,6,7,0.857142857
9,2007,1,8,0.125
9,2008,4,6,0.666666667
9,2009,3,5,0.6
9,2010,3,5,0.6
9,2011,3,7,0.428571429
9,2012,3,3,1
9,2013,2,3,0.666666667
9,2014,8,11,0.727272727
9,2015,2,4,0.5
9,2016,1,3,0.333333333
9.5,2006,4,6,0.666666667
9.5,2007,5,9,0.555555556
9.5,2008,2,3,0.666666667
9.5,2009,2,4,0.5
9.5,2010,2,2,1
9.5,2011,4,4,1
9.5,2012,3,3,1
9.5,2013,5,5,1
9.5,2014,4,6,0.666666667
9.5,2015,2,2,1
10,2006,5,7,0.714285714
10,2007,6,9,0.666666667
10,2008,6,7,0.857142857
10,2009,3,4,0.75
10,2010,3,6,0.5
10,2011,7,11,0.636363636
10,2012,2,6,0.333333333
10,2013,5,6,0.833333333
10,2014,5,6,0.833333333
10,2015,8,11,0.727272727
10,2016,2,2,1
10.5,2006,3,4,0.75
10.5,2007,2,4,0.5
10.5,2008,2,3,0.666666667
10.5,2009,2,5,0.4
10.5,2010,0,1,0
10.5,2011,1,3,0.333333333
10.5,2012,3,3,1
10.5,2013,3,4,0.75
10.5,2014,0,1,0
10.5,2015,2,2,1
10.5,2016,1,2,0.5
11,2006,2,3,0.666666667
11,2007,2,3,0.666666667
11,2008,1,1,1
11,2009,2,3,0.666666667
11,2010,1,1,1
11,2011,1,2,0.5
11,2012,4,6,0.666666667
11,2013,1,2,0.5
11,2014,2,4,0.5
11,2016,1,1,1
11.5,2006,0,3,0
11.5,2007,1,1,1
11.5,2008,2,3,0.666666667
11.5,2009,2,2,1
11.5,2010,1,1,1
11.5,2011,1,1,1
11.5,2012,2,3,0.666666667
11.5,2013,4,6,0.666666667
11.5,2015,1,1,1
11.5,2016,0,1,0
12,2006,3,3,1
12,2007,1,1,1
12,2008,1,2,0.5
12,2009,1,1,1
12,2011,0,1,0
12.5,2006,0,2,0
12.5,2007,1,2,0.5
12.5,2008,1,1,1
12.5,2009,1,1,1
12.5,2010,5,5,1
12.5,2011,1,2,0.5
12.5,2013,1,2,0.5
12.5,2015,1,1,1
13,2006,4,6,0.666666667
13,2007,0,1,0
13,2008,3,3,1
13,2009,2,2,1
13,2010,2,3,0.666666667
13,2011,1,2,0.5
13,2012,1,1,1
13,2013,0,1,0
13,2014,2,3,0.666666667
13,2015,0,1,0
13.5,2006,3,3,1
13.5,2007,1,2,0.5
13.5,2008,2,3,0.666666667
13.5,2009,3,5,0.6
13.5,2011,2,3,0.666666667
13.5,2012,3,5,0.6
13.5,2014,4,4,1
13.5,2015,1,1,1
14,2006,2,2,1
14,2007,1,2,0.5
14,2008,3,3,1
14,2009,4,7,0.571428571
14,2010,2,2,1
14,2011,2,7,0.285714286
14,2014,1,1,1
14,2015,1,2,0.5
14,2016,1,1,1
14.5,2007,0,2,0
14.5,2008,0,1,0
14.5,2010,3,5,0.6
14.5,2011,0,1,0
14.5,2013,2,2,1
14.5,2015,2,2,1
15,2007,1,1,1
15,2008,1,1,1
15,2009,1,2,0.5
15.5,2006,1,1,1
15.5,2007,1,1,1
15.5,2012,1,1,1
15.5,2013,1,1,1
16,2007,1,1,1
16,2008,3,3,1
16,2009,1,1,1
16,2011,1,1,1
16,2012,1,1,1
16,2014,0,1,0
16,2015,0,1,0
16.5,2006,0,1,0
16.5,2007,0,1,0
16.5,2012,1,1,1
16.5,2013,1,1,1
17,2008,1,1,1
17,2009,1,1,1
17,2011,0,1,0
17,2012,0,1,0
18,2006,1,1,1
20,2013,0,1,0
20.5,2007,1,1,1
20.5,2011,1,1,1
22,2007,1,1,1
24.5,2007,1,1,1
26.5,2013,1,1,1
