dog_line,Season,Wins,Totals,Ratio
10,2015,9,13,0.692307692
10,2016,2,3,0.666666667
10.5,2006,3,4,0.75
10.5,2007,3,5,0.6
10.5,2008,3,4,0.75
10.5,2009,2,7,0.285714286
10.5,2010,0,1,0
10.5,2011,2,4,0.5
10.5,2012,5,5,1
10.5,2013,4,5,0.8
10.5,2014,0,1,0
10.5,2015,2,2,1
10.5,2016,2,3,0.666666667
11,2006,2,3,0.666666667
11,2007,4,5,0.8
11,2008,1,2,0.5
11,2009,3,4,0.75
11,2010,1,1,1
11,2011,3,4,0.75
11,2012,4,6,0.666666667
11,2013,1,2,0.5
11,2014,2,5,0.4
11,2015,1,1,1
11,2016,1,1,1
11.5,2006,0,3,0
11.5,2007,1,1,1
11.5,2008,2,3,0.666666667
11.5,2009,3,4,0.75
11.5,2010,1,1,1
11.5,2011,4,4,1
11.5,2012,2,3,0.666666667
11.5,2013,4,6,0.666666667
11.5,2015,1,1,1
11.5,2016,0,1,0
12,2006,3,3,1
12,2007,1,1,1
12,2008,1,2,0.5
12,2009,1,1,1
12,2011,0,1,0
12.5,2006,0,2,0
12.5,2007,1,2,0.5
12.5,2008,1,1,1
12.5,2009,1,1,1
12.5,2010,5,5,1
12.5,2011,2,3,0.666666667
12.5,2013,1,2,0.5
12.5,2015,2,2,1
13,2006,5,7,0.714285714
13,2007,0,1,0
13,2008,3,3,1
13,2009,2,2,1
13,2010,2,3,0.666666667
13,2011,1,2,0.5
13,2012,1,1,1
13,2013,1,2,0.5
13,2014,2,4,0.5
13,2015,0,1,0
13.5,2006,3,3,1
13.5,2007,2,3,0.666666667
13.5,2008,2,3,0.666666667
13.5,2009,3,5,0.6
13.5,2010,0,1,0
13.5,2011,2,3,0.666666667
13.5,2012,3,5,0.6
13.5,2014,4,4,1
13.5,2015,1,1,1
14,2006,2,2,1
14,2007,2,3,0.666666667
14,2008,3,3,1
14,2009,7,10,0.7
14,2010,2,2,1
14,2011,3,8,0.375
14,2014,1,1,1
14,2015,1,2,0.5
14,2016,1,1,1
14.5,2007,0,2,0
14.5,2008,0,1,0
14.5,2009,2,3,0.666666667
14.5,2010,3,5,0.6
14.5,2011,0,1,0
14.5,2012,1,1,1
14.5,2013,2,2,1
14.5,2015,2,2,1
15,2007,1,1,1
15,2008,1,1,1
15,2009,1,2,0.5
15.5,2006,1,1,1
15.5,2007,2,2,1
15.5,2009,0,1,0
15.5,2012,1,1,1
15.5,2013,1,2,0.5
16,2007,1,2,0.5
16,2008,3,3,1
16,2009,1,1,1
16,2011,1,1,1
16,2012,1,1,1
16,2014,0,1,0
16,2015,0,1,0
16.5,2006,0,1,0
16.5,2007,0,1,0
16.5,2012,1,1,1
16.5,2013,1,1,1
17,2008,1,1,1
17,2009,1,1,1
17,2011,0,1,0
17,2012,0,1,0
18,2006,1,1,1
19.5,2007,1,1,1
20,2013,0,1,0
20.5,2007,1,1,1
20.5,2011,1,1,1
22,2007,1,1,1
24.5,2007,1,1,1
26.5,2013,1,1,1
