home_line,Season,Wins,Totals,Ratio
10,2015,1,2,0.5
10,2016,0,1,0
10.5,2007,1,1,1
10.5,2008,1,1,1
10.5,2009,0,2,0
10.5,2011,1,1,1
10.5,2012,2,2,1
10.5,2013,1,1,1
10.5,2016,1,1,1
11,2007,2,2,1
11,2008,0,1,0
11,2009,1,1,1
11,2011,2,2,1
11,2014,0,1,0
11,2015,1,1,1
11.5,2009,1,2,0.5
11.5,2011,3,3,1
12.5,2011,1,1,1
12.5,2015,1,1,1
13,2006,1,1,1
13,2013,1,1,1
13,2014,0,1,0
13.5,2007,1,1,1
13.5,2010,0,1,0
14,2007,1,1,1
14,2009,3,3,1
14,2011,1,1,1
14.5,2009,2,3,0.666666667
14.5,2012,1,1,1
15.5,2007,1,1,1
15.5,2009,0,1,0
15.5,2013,0,1,0
16,2007,0,1,0
19.5,2007,1,1,1
